utilization,service_time_distribution,ci_width
0.1,det,0.044673805528443224
0.1,exp,0.040911598985788875
0.1,hyperexp,0.04340783778193546
0.2,det,0.01453449583135632
0.2,exp,0.026752991226906758
0.2,hyperexp,0.04136906105426482
0.4,det,0.023199234567757635
0.4,exp,0.012242764858271294
0.4,hyperexp,0.04025183224779599
0.7,det,0.04271121203964988
0.7,exp,0.04303047035087233
0.7,hyperexp,0.041699951186369995
0.8,det,0.04096464644075809
0.8,exp,0.0444220156337468
0.8,hyperexp,0.04421147035461102
0.9,det,0.044519428034365635
0.9,exp,0.0437814687327379
0.9,hyperexp,0.04269428007566379
0.95,det,0.04416336282932166
0.95,exp,0.04334566460986248
0.95,hyperexp,0.04255715953839039
0.99,det,0.044777785667658596
0.99,exp,0.04483844462585738
0.99,hyperexp,0.044776057968531485
